Country,Data Source: Organization Name,Data Source: Organization Name (group),Count,Number of Providers,Number of Branches,Number of Clients,Number of Loans,Number of Deposit Accounts,Gross Loan Portfolio,Total Assets,Total Deposits,GLP USD,Assets USD,Deposits USD,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level,Country Level,Data Source Level,Data Source Group Level
Angola,MIX,MIX,2,0,1,0,0,1,0,0,1,0,0,0,Medium,Low,Low,6.9355,3.6339,3.63393,10,10,10
Angola,Microcapital,Research and news,1,0,1,0,0,1,1,1,1,0,1,1,Medium,Medium,Medium,6.9355,7,4.19298,10,7,7
Angola,Banco Sol - AO,Self-reported,1,0,1,0,0,1,0,1,1,0,1,1,Medium,Medium,Medium,6.9355,6,5.3,10,6,6
Angola,WSBI,WSBI,1,0,1,1,1,1,1,1,1,1,1,1,Medium,Medium,Medium,6.9355,7.6968,7.69677,10,10,10
Benin,ALAFIA,Networks,23,0,19,11,11,23,11,11,11,12,12,12,High,High,Medium,8.2487,8.6992,6.47895,10,10,10
Benin,MIX,MIX,4,0,2,0,0,0,0,0,0,0,0,1,High,Low,Low,8.2487,3.6339,3.63393,10,10,10
Benin,GSMA,GSMA,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2487,9.826,9.82601,10,10,10
Benin,INAFI,Networks,1,0,1,0,0,0,0,1,0,0,1,0,High,Low,Medium,8.2487,3.4615,6.47895,10,6,10
Benin,"Crystal Clear Software, Ltd.",Technology Providers,1,0,1,1,1,1,1,1,1,1,1,1,High,High,High,8.2487,10,9.9505,10,10,10
Benin,WOCCU,WOCCU,1,0,1,0,0,0,0,1,0,0,0,0,High,Low,Low,8.2487,2.4872,2.48718,10,5,5
Benin,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,High,Medium,Medium,8.2487,7.6968,7.69677,10,10,10
Botswana,Finmark Trust,Research and news,4,0,4,0,0,0,2,4,0,0,4,3,Medium,Low,Medium,7.3636,3.8,4.19298,10,5,7
Botswana,GSMA,GSMA,2,0,2,2,2,2,2,2,2,2,2,2,Medium,High,High,7.3636,9.826,9.82601,10,10,10
Botswana,WSBI,WSBI,1,0,0,1,1,1,1,0,1,1,0,1,Medium,Medium,Medium,7.3636,7.6968,7.69677,10,10,10
Burkina Faso,DMF,Regulators,15,0,15,15,15,15,15,15,15,15,15,15,High,High,Medium,8.5844,10,4.79699,10,10,10
Burkina Faso,APIM BF,Networks,10,0,0,0,0,10,0,10,0,0,10,0,High,Low,Medium,8.5844,3,6.47895,10,3,10
Burkina Faso,MIX,MIX,1,0,0,0,0,0,0,0,0,0,0,0,High,Low,Low,8.5844,3.6339,3.63393,10,10,10
Burkina Faso,WOCCU,WOCCU,1,0,1,0,0,0,0,1,0,0,1,0,High,Low,Low,8.5844,2.4872,2.48718,10,5,5
Burkina Faso,WSBI,WSBI,1,0,0,0,1,0,1,0,0,1,0,0,High,Medium,Medium,8.5844,7.6968,7.69677,10,10,10
Burundi,GSMA,GSMA,1,0,1,0,1,1,1,1,1,1,1,1,Medium,High,High,7.5,9.826,9.82601,10,10,10
Burundi,MIX,MIX,1,0,0,0,0,0,0,0,0,0,0,0,Medium,Low,Low,7.5,3.6339,3.63393,10,10,10
Burundi,AFMIN,Networks,1,0,1,0,0,0,0,1,0,0,1,0,Medium,Low,Medium,7.5,3.7143,6.47895,10,5,10
