name,url,country,source,contact,address,type,id
,,Kenya,Direct Website,,,MFI,1
,,Kenya,Direct Website,,,MFI,2
AAR Credit Services,www.aarcredit.com,Kenya,Direct Website,"Fax: 2715328,","NAIROBI,P.O BOX 41766 GPO, Tel: 2715319",MFI,3
ADOK TIMO,www.adoktimo.com,Kenya,Direct Website,"Tel: 057 2025570,P.O. Box 3650-40100,","Sifa House, Ground Floor, Mission Rd.,Off Kakamega Rd. Opposite Kibuye Market. KISUMU.",MFI,4
Agakhan First Microfinance Agency,www.akdn.org,Kenya,Direct Website,"Tel: 4451349/6/8,Fax: 4451349,","Mpaka plaza, Westlands 3rd floor,P.O BOX 13149-00100, NAIROBI",MFI,5
BIMAS,,Kenya,Direct Website,"Tel: 068-31645,Fax: 068-31573,www.bimaskenya.com,","BIMAS Comlex Opposite Shell Petrol Station Embu.,P.O BOX 2299 EMBU",MFI,6
Blue Limited,www.bluelimited.com,Kenya,Direct Website,,,MFI,7
Canyon Rural Credit Limited,,Kenya,Direct Website,"Tel: 2711475, 2043407, 2725024,www.canyonruralcredit.com,","Studio House, 3rd Floor,P.O Box 46532 - 00100, Nairobi",MFI,8
Chartis Insurance,www.chartisinsurance.com,Kenya,Direct Website,"Tel: 020-3676901/0720854979,Fax: 020-3676001,","Chartis&#160;House, Eden Square Complex, Chiromo Road,P.o Box 49460-00100,,Nairobi.",MFI,9
CIC Insurance,www.cic.co.ke,Kenya,Direct Website,"Tel:2823000,Fax: 2823333,","Nairobi,CIC Plaza, Mara Road,P.O Box 59485-00200,,NAIROBI.",MFI,10
Co-operative Bank,www.co-opbank.co.ke,Kenya,Direct Website,"TEL: 3276210,Fax: 249480,","Co-operative Bank House,P.O BOX 48231-00100, NAIROBI",MFI,11
ECLOF Kenya,www.eclof.org,Kenya,Direct Website,info@eclof-kenya.org,"Royal Offices, Mogotio Rd., Off. Chiromo Lane, Parklands,P.O Box 34889,Nairobi",MFI,12
Equity Bank,www.equitybank.com,Kenya,Direct Website,"Tel: 27366620/17,","NHIF Building Upper Hill,P.O BOX 75104-00200 NAIROBI",MFI,13
Faulu Kenya DTM Limited,www.faulukenya.com,Kenya,Direct Website,"Tel:3877290/3872184/4,Fax:3867504/3874857,","Ngong Lane, Off Ngong Road,P.O BOX 60240-00200 NAIROBI",MFI,14
Fusion Capital Ltd,www.fusioncapital.org,Kenya,Direct Website,"Tel: 2715411,info@fusioncapital.co.ke,","ACK Garden House, Block A,1st Ngong Avenue, opposite Bishops Rd.,P.O Box 47538 - 00100",MFI,15
Greenland Fedha Limited,,Kenya,Direct Website,"Tel: 020 - 32277000,Fax: 020 - 211240,agathuku@ktdateas.com,","KTDA Farmers Building,,P.O Box 30213 - 00100, Nairobi",MFI,16
Jamii Bora Bank,www.jamiibora.org,Kenya,Direct Website,"Tel: 2034514/3/2/2034543,0722-937516/0733691564,","Industrial Area,P.O BOX 2704-00202 NAIROBI",MFI,17
Jitegemea Credit Scheme,,Kenya,Direct Website,,"KCB Plaza Jogoo Road,P.O BOX 46514, NAIROBI, Tel: 535866/552169,",MFI,18
Jitegemee Trust Limited,www.jitegemeetrust.co.ke,Kenya,Direct Website,"Tel: 3874693/3872998,Fax: 561120,","Lenana Road Roshan Maer Place,P.O BOX 21768-00505 NAIROBI",MFI,19
Juhudi Kilimo Company Limited,www.krepbank.com,Kenya,Direct Website,"Tel: 020 3906000,K-Rep Centre, Wood Avenue,","P.O Box 10528 - 00100, Nairobi Kenya",MFI,20
K-rep Bank Ltd,www.k-repbank.com,Kenya,Direct Website,"Tel 3871511,Fax 3873178,","Opposite Precious Blood Girls Sec School. Naivasha Rd -Kawangware,P.O BOX 25363-00603 NAIROBI",MFI,21
K-rep Development Agency,www.k-repbank.com,Kenya,Direct Website,"Tel 4343495/4343493,","Next to Kileleshwa Police station,P.O BOX 39312 NAIROBI",MFI,22
KADET,www.kadet.co.ke,Kenya,Direct Website,"Tel: 2731954/87,Fax: 2731955,","Capital Hill Towers,P.O BOX 1676-00200 NAIROBI",MFI,23
Kenya Post Office Savings Bank,www.postbank.co.ke,Kenya,Direct Website,"Tel 229551-6,Fax: 229186,","Post Bank House Banda Street,P.O BOX 30311-00100,NAIROBI.",MFI,24
Kenya Women Finance Trust,www.kwft.org,Kenya,Direct Website,"Tel 2712903/2712823,Fax 2723303,","Muchai Drive Off Ngong Road,P.O BOX 55919 NAIROBI.",MFI,25
Kenya Women Holding,www.kwft.org,Kenya,Direct Website,"Tel: 2102122,","Mucai Drive, off. Ngong Road,P.O Box 47996 - 00100,Nairobi",MFI,26
Kilimo Faida,www.orioneastafrica.co.ke,Kenya,Direct Website,"Tel: 254 20 2062361,","Outering Road, New Donholm,P.O Box 10144-00100",MFI,27
