
1.,   Atwima Rural Bank Ltd,                Foase,Ashanti
2.,   Sekyedomase Rural Bank Ltd,           Sekyedomase,Ashanti
3.,   Adansi Rural Bank Ltd,                Fomena,Ashanti
4.,   Asokore Rural Bank Ltd,               Asokore,Ashanti
5.,   Kwamaman Rural Bank Ltd,              Kwaman,Ashanti
6.,   Asante Akyem Rural Bank Ltd,          Juansa,Ashanti
7.,   Kumawuman Rural Bank Ltd,             Kumawu,Ashanti
8.,   Akrofoum Area Rural Bank Ltd,         Akrofuom,Ashanti
9.,   Ahafo Ano Premier Rural Bank Ltd,     Wioso,Ashanti
10.,  Bosomtwe Rural Bank Ltd,              Kuntanase,Ashanti
11.,  Okomfo Anokye Rural Bank Ltd,         Wiamoase,Ashanti
12.,  Odotobiri Rural Bank Ltd,             Jacobu,Ashanti
13.,  Atwima Kwanwoma Rural Bank Ltd,       Pakyi No.2,Ashanti
14.,  Sekyere Rural Bank Ltd,               Jamasi,Ashanti
15.,  Amanano Rural Bank Ltd,               Nyinahin,Ashanti
16.,  Amansie West Rural Bank Ltd,          Antoakrom,Ashanti
17.,  Juaben Rural Bank Ltd,                Juaben,Ashanti
18.,  Atwima Mponua Rural Bank Ltd,         Toase,Ashanti
19.,  Nwabiagya Rural Bank Ltd,             Barrekese,Ashanti
20.,  Otuasekan Rural Bank Ltd,             Kofiase,Ashanti
21.,  Nsutaman Rural Bank Ltd,              Nsuta,Ashanti
22., Offinso Rural Bank,                    Offinso,Ashanti
23., Ejuraman Rural Bank,                   Ejura,Ashanti
24., Bosome- Freho Rural Bank,               Nsuaem No.2,Ashanti


1.,  Nyakrom Rural Bank Ltd,              Agona Nyakrom,Central
2.,  Mfantseman Community Bank Ltd,       Biriwa,Central
3.,  Enyan Denkyira Rural Bank Ltd,       Enyan Denkyira,Central
4.,  Gomoa Rural Bank Ltd,                Apam,Central
5.,  Kakum Rural Bank Ltd,                Elmina,Central
6.,  Nyankumase Ahenkro Rural Bank Ltd,   Fante-Nyankumase,Central
7.,  Union Rural Ban k Ltd,               Senya Bereku,Central
8.,  Assinman Rural Bank Ltd,             Assin Manso,Central
9.,  Brakwa Breman Rural Bank Ltd,        Brakwa,Central
10., Ayanfuri Rural Bank Ltd,             Ayanfuri,Central
11., Eastern Gomoa Assin Rural Bank Ltd,  Gomoa-Dominase,Central
12., Akatakyiman Rural Bank Ltd,          Komenda,Central
13., Ekumfiman Rural Bank Ltd,            Essuehyia,Central
14., Gomoa Ajumako Rural Bank Ltd,        Afransi,Central
15., Agona Rural Bank Ltd,                Kwannyaku,Central
16., Akyempim Rural Bank Ltd,             Gomoa-Dawuranpong,Central
17., Akoti Rural Bank Ltd,                Assin-Akropong,Central
18., Twifu Rural Bank Ltd,                Twifo-Agona,Central
19., Awutu Emasa Rural Bank Ltd,          Awutu Bereku,Central
20., Awutu Bawjiase Rural Bank Ltd,       Bawjiase,Central
21., Odupon Kpehe Rural Bank Ltd,         Kasoa,Central


1.,  Asuopra Rural Bank Ltd,              Afosu,Eastern
2.,  Manya Krobo Rural Bank Ltd,          Odumase-Krobo,Eastern
3.,  Akwapim Rural Bank Ltd,              Mamfe,Eastern
4.,  Kwahu Rural Bank Ltd,                Pepease,Eastern
5.,  Anum Rural Bank Ltd,                 Anum,Eastern
6.,  South Birim Rural Bank Ltd,          Achiase,Eastern
7.,  Upper Manya Kro Rural Bank Ltd,      Asesewa,Eastern
8.,  Kwahu Praso Rural Bank Ltd,          Kwahu Praso,Eastern
9.,  Atiwa Rural Bank Ltd,                Kwabeng,Eastern
10., Mumuadu Rural Bank Ltd,              Osino,Eastern
11., Afram Rural Bank Ltd,                Tease,Eastern
12., Mponua Rural Bank Ltd,               Amuana Praso,Eastern
13.,  Akim Bosome Rural Bank Ltd,      Akim Swedru,Eastern
14.,  Kwaebibirim Rural Bank Ltd,      Asuom,Eastern
15.,  Akyem Mansa Rural Bank Ltd,      Ayirebi,Eastern
16.,  South Akim Rural Bank Ltd,       Nankese,Eastern
17.,  Odwen-Anoma Rural Bank Ltd,      Hweehwee,Eastern
18.,  Dumpong Rural Bank Ltd,          Asakraka,Eastern
19.,  Adonten Community Bank Ltd,      New Tafo,Eastern
20.,  Asuogyaman Rural Bank,          Akosombo,Eastern
21.,  Citizens Rural Bank Ltd,        Nsawam,Eastern
22.,  Fanteakwa Rural Bank,           Begoro,Eastern

 BRONG AHAFO REGION                 LOCATION

1.,   Kintampo Rural Bank Ltd,         Kintampo,Brong Ahafo
2.,   Wamfie Rural Bank Ltd,           Wamfie,Brong Ahafo
3.,   Suma Rural Bank Ltd,             Suma Ahenkro,Brong Ahafo
4.,   Baduman Rural Bank Ltd,          Badu,Brong Ahafo
5.,   Asutifi Rural Bank Ltd,          Acherensua,Brong Ahafo
6.,   Nkoranza Kwabre Rural Bank Ltd,  Akuma,Brong Ahafo
7.,   Fiagya Rural Bank Ltd,           Busunya,Brong Ahafo
8.,   Bomaa Rural Bank Ltd,            Bomaa,Brong Ahafo
9.,   Nsoatreman Rural Bank Ltd,       Nsoatre,Brong Ahafo
10.,  Derma Area Rural Bank Ltd,       Derma,Brong Ahafo
11.,  Yapra Rural Bank Ltd,            Prang,Brong Ahafo
12.,  Nkoranman Rural Bank Ltd,        Seikwa,Brong Ahafo
13.,  Amantin & Kasei Rural Bank Ltd,  Amantin,Brong Ahafo
14.,  Ahafo Community Bank Ltd,        Kukuom,Brong Ahafo
15.,  Drobo Community BanK Ltd,        New Drobo,Brong Ahafo
16.,  Nafana Rural Bank Ltd,           Sampa,Brong Ahafo
17.,  Capital Rural bank Ltd,          Abesim,Brong Ahafo
18.,  Atweaban Rural Bank,             Duayaw Nkwanta,Brong Ahafo
19.,  Nkrankwanta Rural Bank,         Nkrankwanta,Brong Ahafo
20.,  Wenchi Rural Bank,              Wenchi,Brong Ahafo

1.,  Esiama Rural Bank Ltd,        Esiama,Western
2.,  Amenfiman Rural Bank Ltd,     Wassa-Akropong,Western
3.,  Nzema Manle Rural Bank Ltd,   Awiebo,Western
4.,  Jomoro Rural Bank Ltd,        Tikobo No.1,Western
5.,  Asawinso Rural Bank Ltd,      Sefwi-Asawinso,Western
6.,  Lower Pra Rural Bank Ltd,     Shama,Western
7.,  Fiaseman Rural Bank Ltd,      Bogoso,Western
8.,  Lower Amenfi Rural Bank Ltd,  Manso Amenfi,Western
9.,  Ahantaman Rural Bank Ltd,     Agona-Nkwanta,Western
10., Upper Amenfi Rural Bank Ltd,  Ankwanso,Western
11., Kaaseman Rural Bank Ltd,      Kaase,Western
12., Bia Torya Rural Bank Ltd,    Bonsu Nkwanta,Western
13., Western Rural Bank Ltd,       Sekondi,Western
14., Sefwiman Rural Bank Ltd,      Bibiani,Western

         VOLTA REGION           LOCATION

1.,  North Tongu Rural Bank Ltd,   Adidome,Volta
2.,  Asubonteng Rural Bank Ltd,    Worawora,Volta
3.,  Avenor Rural Bank Ltd,        Akatsi,Volta
4.,  Unity Rural Bank Ltd,         Ziope,Volta
5.,  North Volta Rural Bank Ltd,   Guaman,Volta
6.,  Weto Rural Bank Ltd,          Kpeve,Volta
7.,  Agave Rural Bank Ltd,         Dabala,Volta
8.,  Mepe Area Rural Bank Ltd,     Mepe,Volta
9.,  Anlo Rural Bank Ltd,          Anloga,Volta
10., Butawu Rurak Bank Ltd,        Tsito,Volta
11., Gbi Rural Bank Ltd,          Hohoe,Volta
12., Kpassa Rural Bank,            Kpassa,Volta

1., Shai Rural Bank Ltd,            Dodowa,Greater Accra
2., Ada Rural Bank Ltd,             Kasseh,Greater Accra
3., Dangbe Rural Bank Ltd,          Prampram,Greater Accra
4., Ga Rural Bank Ltd,              Amasaman,Greater Accra
5., Abokobi Rural Bank Ltd,         Abokobi,Greater Accra
6., La Community Bank Ltd,          Labadi,Greater Accra

1., Bessfa Rural Bank Ltd,          Garu,Upper East
2., Naara Rural Bank Ltd,           Paga,Upper East
3., Builsa Community Bank Ltd,      Sandema,Upper East
4., Toende Rural Bank Ltd,          Zebilla,Upper East
5., Bongo Rural Bank                Bongo,Upper East

1., Nandom Rural Bank Ltd,          Nandom,Upper West
2., Sonzele Rural Bank Ltd,         Jirapa,Upper West
3., Sissala Rural Bank Ltd,          Tumu,Upper West
4., Lawra Area Rural Bank Ltd,       Lawra,Upper West


1., Bonzali Rural Bank Ltd,         Kumbugu,Northern
2., Bangmarigu Community Bank Ltd,  Walewale,Northern
3., East Mamprusi Rural Bank Ltd,   Gambaga,Northern
4., Borimanga Rural Bank Ltd,       Savelugu,Northern
5., Buwulonso One Stop RB Ltd,      Damongo,Northern
6., Tizaa Rural Bank Ltd,           Gushegu,Northern
7., Zabzugu Rural Bank,             Zabzugu,Northern
