name	type	city	address	contact
SDC Finance and Leasing Company Ltd.	Finance House	Accra	Hse No.D921/3, Adjacent A.M.A, Asafoatse-Nettey Street, Post Office Square, High Street. P.O.Box14198, Accra	Tel: 233 302 669372-5 Fax: 233 302 669371
City Investments Co. Ltd.	Finance House	Accra	CAL Bank Building. P.O.Box 1868 Accra	Tel: 233 302 669967/ 233 302 667669/ 233 21 300063/ 233 302 662932. Fax: 233 302 667668
Ivory Finance Company Ltd.	Finance House	Accra	CDH House, No. 36 Independence Avenue, Northridge, P.O.Box 14911, Independence Avenue, Accra	Tel: 233 302 671050 Fax:233 302 662167
N.D.K. Financial Services Ltd.	Finance House	Accra	NDK Building, Rev. Hesse Street, Osu, Accra. P.O.Box 3387, Accra	Tel : 233 302 761802-4. Fax : 233 302 761805; E-mail: ndk@africaonline.com
OAK Financial Services	Finance House	Accra	5 Standfast Street, Kokomlemle. P.O. Box K.I.A 9526, Airport, Accra	Tel: 233 302 227304/ 233 302 230956. Fax: 233 302 230928
Sterling Financial Services	Finance House	Accra	Along the Motorway Extension near Fiesta Royale, Dzorwulu P.O. Box CT 2932, Cantonments, Accra Website: www.sterlingfinancial.ws	Tel: 233 302 762955/ 233 302 765318/ 233 21 764332-5 Fax: 233 302 762954 Email: sterling@4u.com.gh
Bayport Financial Services Ltd.	Finance House	Accra	71 Osu Badu Street, Airport West, Accra PMB 248, Accra North, Accra	Tel : 233 302 910755 ; 233 302 910778. Fax : 233302772692
Eximguaranty Co. (Gh) Ltd.	Finance House	Accra	No. 27, Plot No 137 Roman Ridge Ambassadorial Estate Extension, Accra, P.O. Box18543, Accra.	Tel : 233 302 768763 – 4 Fax.233 302 768884 Email: eximgy@africaonline.com.gh
Golden Link Financial Services	Finance House (Inward Remittances)	Accra	H/No.C239/3,Off Farrar Avenue,	Tel: 233 302 249082/3
Express Funds International Ltd.	Finance House (Inward Remittances)	Accra	Bremua House, New Town Road, Accra North	Tel: 233 302 245934/ 233 302 227018. Fax: 233 302 238199
Trans-Continental Financial Services Ltd.	Finance House (Inward Remittances)	Accra	Planet House, No. 8 Third Box 13463, Accra	Tel: 233 302 224928/ 233 302 Fax: 233 302 224928
Export Finance Co.Ltd	Finance House/Export Financing	Accra	Coplan House, Kojo Thompson Road, P.M.B., Accra-North	Tel: 233 302 229895/ 233 21 230950 Fax: 233 302 221333
JISLAH Financial Services	Financial House	Accra	Digitronix Plaza, Wawa Street, Off Royalt Castle Road, Kokomlemle, Fax: 233 302 250098 P.O Box OS. 1013, Osu, Accra	Tel: 233 302 250092/3
Utrak Financial Services	Finance House	Kumasi	P.O. Box UP 1011, Kumasi.	Tel: 233 03220 39876 Fax: 233 03220 39876 E-mail:urak2000@yahoo.com
Chrisline Financial Services Ltd.	Finance House	Accra	Hse No. C97/2 Ayikuma Avenue, off Kwame Nkrumah Aveneue, Adabraka P. O. Box 4843, Accra	Tel:233-302- 229552/223313/233331 233325/232263 Fax: 233-21-225935/316777 Email: chrislineinvest@yahoo.com
Crest  Finance House Limited	Finance Company	Accra	#16 Dr, Amilcar Cabral Road Annex, Airport Residential Area, Accra. Private Mail Bag CT 1, Cantonments, Accra	Tel: 233-302-770666 / 233-302- 9100164 / 233-302-9100165 Fax: 233-302-764628 Email: crestfinance@krongh.com Website: www.crestfinance.com.gh
Bond Financial Services Limited	Finance house	Tema	Krakue Road, Community 1 P.O Box CO PMB 95, Tema	TEI: 233 3022 -214444; 233 3022 - 205550 FAX: 233 3022 -205552
Forms Capital Limited	Finance House	Accra	No. 15 Ringway Estates P. O. Box 01914 Accra	TEL: 021-245008; 224685; 224941
TF Financial Services	Finance House	Accra	1ST Floor Provident Towers P. O. Box 1756 Cantonment, Accra	TEL: 233-302-229435; FAX: 233-302-912214
Blue Financial Services Ghana Ltd.	Finance House	Accra	Osu – Oxford Street Blue Financial Services Ghana Limited P. O Box CT -3270 Cantoments Accra	TEL: 233-302-770666 FAX : 233-302 764628 Email: info@krong.com
SIC Life Trust Finance Limited	Finance House	Accra	Swanzy Shopping Arcade P. O Box CT 3242 Cantonments	TEL: 233-302 - 687076
Consumer Finance Company Ltd.	Finance House	Accra	3rd Osu Badu Link, Dzorwulu Private Mail Bag 248 Accra-North	TEL: 233-302-770440
XDS Data Ghana Limited	Credit Reference Bureau	Accra	6 Odoi Kwao Street Airport Residential, Accra P. O. Box GP 13692, Accra	TEL: 233-302-769916 Website: www.xdsdata.com
First Capital Plus 1st African Savings & Loans Savings & Loans Co.,Ltd.	Savings and Loans	Accra Hse No. 128, 1st Africa House (Former PTC Building), Kwame Nkrumah Avenue. P.O. Box AN 11337, Accra	P. O. Box DC 844, Accra Near Tesano Police Station along 233-302-211450/4 the Circle-Achimota Road	TEL: 0244-377679 233-302-211477/8 Fax: 233-302 211473
Midland Savings & Loans Co.,Ltd.	Savings & Loans	Accra	Elihu House, D.676/4,Kimberly Avenue, P.O.Box CT1473,Cantoments, Accra	Tel: 233 302 677881-4. Fax 233 302 677884
First Allied Savings and Loans Co. Ltd.	Savings & Loans	Kumasi	P.O Box CT3621, Brewery Road, Cantonments, Accra	Tel; 021-231894, 021-231923, 021- 231953 Fax: 021-254112
Garden City Savings & Loans Co. Ltd.	Savings & Loans	Kumasi	P.O. Box 1920, Kumasi	Tel: 233 051-31893 / 233 051 31894
Ezi Savings Loans Ltd.	Savings & Loans	Accra	Aviation House,Liberation Road, P.O. Box 5261, Accra	Tel: 233 21 777898 / 233 21 231986 / 233 21 231987. Fax: 233 21 231987
Unicredit Ghana Ltd.	Savings & Loans	Accra	DL/0/4 Kantamanto Near Hotel De Horses, P.O. Box GP 18729, Accra.	Tel: 233 21 666648 / 233 21 672690. Fax: 233 21672691
Union Savings & Loan Ltd.	Savings & Loans	Kumasi	P.O. Box K207, Kejetia, Kumasi.	Tel: 233 051-33372 / 233 051 22915
Women's World Banking- MASU	Savings & Loans	Accra	EWQ Bannerman Memorial Hse., Hse No.c127/7, Opposite Ferrotal (Gh) Ltd, Kokomlemle. P.O. Box 2989 Accra.	Tel: 233 302 243260-1/ 233 302 230409 / 233 302 248990 Fax: 233 302 243261 Email: wwbg@africaonline.com.gh
ProCredit Savings & Loans Co.Ltd. Pacific Savings & Loans Co. Savings & Loans Ltd.	Savings & Loans	Accra Kumasi	32 New Town Road, Kokomlemle, P.O. Box NT328, New Town, Accra. Plot Q.T.B, Adum, P.O.Box KS 1922, Kumasi.	Tel: 233 302 258450/1 Fax : 233 302 258455, Email: sikaman@ghana.com Tel: 233 03220-33193 Fax: 233 03220 25858
First Ghana Building Company	Savings and Loans	Accra	D.564/4 Kojo Thompson Road P.O,Box 2958, Accra	Tel: 233 302 228533
Opportunity International Savings and Loans Co. Ltd Express Savings and Loans Savings and Loans Co. Ltd	Savings and Loans	Accra Accra	P. O. Box JT 323, James Town, Accra P.O. Box 10476, North Bremua House, along the New Town Road within the Express Funds Building	Tel: 233 302 675219 / 233 21 673929 Fax: 233 302 665919 227018. Fax: 233 302 238199
Adehyeman Savings and Loans Co. Ltd.	Savings and Loans	Accra	Girl Guide House, Near E. C. G., Makola P.O. Box G.P 13249, Accra	Tel: 233 302 686081/ 233 302 671721 233 0208142683 233 0244075906
First National Savings and Loans Co. Ltd. Advans Ghana Savings and Savings and Loans Loans Ltd.	Savings and Loans	Accra Accra	Mozambique Link, North Ridge, Accra P. O. Box GP 17187, Accra Ground floor Oxford Cinema building (Accra New Town) P. O. Box AN 11426 Accra - North	Tel: 233 302 256967 233 302 238413 Fax: 233 302 256344 Email:info@firstnationalghana.com TEL: 233-302-251322;
Global Access Savings and Loans Company Limited	Savings and Loans	Accra	Abeka - Lapaz P. O. Box AT 1479 Achimota Accra	TEL: 0302-406920
EB-Accion Savings and Loans Company Limited	Savings and Loans	Accra	No. 4 Nortei Ababio Street Roman Ridge, Accra PMB CT 127, Cantonments, Accra	Tel: 233-302 782750-1 Fax: 233-302 782755 Email: info@easl-ghana.com
Ghana Leasing Co. Ltd.	Leasing	Accra	Hse. No. 8, First Freetown Link, Okponglo, East Legon, Accra, P.O.Box 14295, Accra Website: www.ghanaleasing.com Email: info@ghanaleasing.com	Tel : 233 302 520197/ 233 302 520198/ 233 302 520199/ Fax : 233 302 520206
Leasafric Ghana Ltd.	Leasing	Accra	57 OSU BADU STREET, PLOT NO. 6, AIRPORT WEST P. O. Box CT 2430, Accra Email: info@leasafric.com	TELEPHONE: (021) 780901 – 3, 768087, 773016, 776373 FAX: (021) 776373
Dalex Finance and Leasing Company Ltd.	Finance and Leasing	Accra	Hse No. 6, 6 Ringway Street, Ringway Estates. P.O. Box CT 3581, Cantoments, Accra.	Tel: 233 302 764550; 233 302 764620; Fax: 233 302 7011807 E-mail: info@dalexfinance.com
IFS Finance & Leasing Company Limited	Finance and Leasing	Accra	3rd Floor Opeibea House, Liberation Road, Accra P.O. Box SR 344, Accra	Tel: 021-766303
F & D Finance and Leasing Company Limited	Finance and Leasing	Accra	P.O. Box AT 1144, Achimota Market, Accra	TEL: 021-770431 FAX: 021-770432
Ghana Home Loans	Mortgage Finance	Accra	No. 63a Aviation Road, Airport Residential Area, Opposite Aviation House, Accra. P.O. Box PMB CT 470, Cantonments, Accra	Tel: 233 21 7010234 / 233 21 912958 / 233 21 913088 Fax: 233 21 765119 Email: info@ghanahomeloans.com
