Fax,Tel,loc2,Manager,loc1,Address
011-463-6836,011-7066040/878,BRYANSTON,Thys Furstenberg,NORTH WEST RAND,"""THE POST HOUSE"" C/O MAIN & BRUTON DRIVE, BRYANSTON"
031-9032102,031-9034191,AMANZIMTOTI,Lex Muthen,HIGHWAY,"1 Bjorseth Crescent, Amanzimtoti"
031-7024066,031-7012277,PINETOWN,Emmanuel Gumbi,HIGHWAY,"1 Chancery Lane,Pinetown"
035-3401622,035-3401622,MTUNZINI,Daleen van Zyl,ZULULAND,1 Clarke Avenue
017 - 632 2496,017 - 632 2251,EVANDER,ANNALIE NEL,SECUNDA,1 GHENT STR
012-7341098,012-7341096,Cullinan,Sam Mahlangu,WITBANK,1 Hotel Street
021-576 1001,021-576 1001,Mamre,Wilna Basson,WEST COAST,1 LIEDEMAN STREET
031-503 7170,031-503 7170,KWAMASHU,Nokthula Khanyile,PORT NATAL,"1 Malandela Road, Kwa Mashu 4360"
018 2905821,018 2905821,BAILLIE PARK,GREYN MODISE,POTCHEFSTROOM,1 MARL STREET
043-7223125,043-7222750,THE DUNCAN VILLAGE,N.L.Izally (Acting),EAST LONDON,1 MTETO ROAD THE DUNCAN VILLAGE
031-462 0865,031-462 0865,YELLOWWOOD PARK,Sharon Grant,PORT NATAL,"1 Pelican Place, Yellowwoodpark, 4011"
018 477 1901,018 477 1901,VAAL REEF,SOLOMON LEBURU,POTCHEFSTROOM,1 SHAFT
043-7311434,043-7312350,WEST BANK,J. Jamieson (Acting),EAST LONDON,10 BANK STREET WEST BANK
041-9923055,041-9923055,RIEBEECKHOOGTE,De Vos W,PORT ELIZABETH,"10 Van Riebeeck Street, Uitenhage"
031-7071001,031-7071001,CLERNAVILLE,Themba Mpisane,HIGHWAY,"1001 North Road, Clernaville"
041-9227343,041-9229606/08,UITENHAGE,Van Zyl P R D,PORT ELIZABETH,"106 Caledon Street, Uitenhage"
021-7862100,021-7862114,Simonstown,John Austen,PENINSULA,"106 ST GEORGES STREET, SIMON'S TOWN, 7995"
021-4343532,021-4342560,Green Point,Brian Olsen,PENINSULA,"107 MAIN RD, GREEN POINT, 8001"
053-8741083,053-8741083,GALESHEWE,VACANT,KIMBERLY,1087MORGAN STREET  GALESHEWE
015 5343668,015 5342003,Messina,RONALDMANZERE,THOHOYANDOU,10HORLDGRENFELL STRRET
022 7141100,022 7141109,Saldanha,Donald Bagnall,WEST COAST,11 DA GAMA STREET
031-4034057,031-4038902,CHATSWORTH,Chokkie Mandri,HIGHWAY,"11 Swami Baktivendata Circle, Chatsworth 4092"
045-9331698,045-9331048,UGIE,N.MZOLA,UMTATA,11 UNGA AVE
013-7554679,013-7532084,Nelspruit,Sydney Sithole,NELSPRUIT,11 Voortrekker Street Nelspruit
,051-641 0957,JAMESTOWN,VACANT,MIDLANDS,"11 Voortrekker Street, Jamestown, 9742"
015-3099365,015-3099441,DUIWELSKLOOF,BELER.T,PIETERSBURG,113 BOTHA STREET
054-531233,054-531233,MIER,Tina Willemse,UPINGTON,113 Daan Swanepoel str.
031-9021643,031-9021150,ISIPINGO,Lesly Zindela,HIGHWAY,"114/120 Old Main Road, Shop 7 Isipingo Main"
021-8895768,021-889-5768,Kayamandi,Jeannette Jooste,OVERERG,118 Masithandane Street Khayamandi
053-4219044,053-4219044,HERTZOGVILLE,VACANT,KIMBERLY,119STUASS  STREET  HERTZOGVILLE
018-581 2223,018-5813333,LEEUDORINGSTAD,MARTIN BURGER,VRYBURG,12 GEORGE STREET
036 - 4482041,036 - 4481570,BERGVILLE,LUNGI MOTAUNG,NORTHERN NATAL,12 TATHAM ROAD BERGVILLE
031-4687751,031-4682188,AUSTERVILLE,Woodsie Govender,PORT NATAL,"120 Austerville Drive, Austerville, 4052"
041-4514132,041-4514324,SIDWELL,Feni K,PORT ELIZABETH,"123 Commercial Rd, Sidwell"
031-2665258,031-2665258,WANDSBECK,Shaun Deeplal,HIGHWAY,"123 Jan Hofmeyer Road, Upper Level"
013-2613003,013-2611045/17,Marble hall,Pinky Mohale,WITBANK,125 Main street
021-591 9555,021-591 8621,Goodwood,Chris Kruger,WEST COAST,129 VOORTREKKER RD
053-5610108,053-5610108,DELPORTSHOOP,VACANT,KIMBERLY,12HANEKOM  STREET  DELPORTSHOOP
015-6335281,015-6335284,LEBOWAKGOMO,LEGODI MP,PIETERSBURG,13 MADUDI PHASHA CEN
021-7124927,021-7121925,Bergvliet,Bernard Goliath,PENINSULA,"13 MAIN RD, BERGVLIET, 7945"
032-533 1591,032-5336118,VERULAM,Loven Moodley,PORT NATAL,"13 Wicks Street, Verulam, 4340"
033-3306766,033-3303206,MERRIVALE,Alzina Jama,MIDLANDS,"13 Zeederberg Street, Merrivale, 3291"
051-8810048,051-8810033,Winburg,Eric Snyman,BETHLEHEM,"14 Brand Street, Winburg"
016- 362-3229,016- 3620782,MEYERTON,MM Potgieter,EAST VAAL,14 FENTON ST MEYERTON 1960
031-3157483,039-3157483,UVONGO,Gugu Ncayiyana,HIGHWAY,"14 Permanent Building, Marine Drive, Uvongo"
,048-885 0235,HOFMEYR,rotate from Cradock,MIDLANDS,"14 Voortrekker Street, Hofmeyr, 5930"
013-6562809,013-6902921,Witbank,Clement Mabesa,WITBANK,14-18 Paul Kruger Street
041-9884500,041-9884500,GAMBLEVILLE,Such D,PORT ELIZABETH,"144 Rosedale Ave, Gambleville, Uitenhage"
021-4476675,021-4472475/448,Woodstock,Leon Brooks,PENINSULA,"144 VICTORIA RD, WOODSTOCK, 8001"
031-2052722,031-2052722,MAYDON WHARF,Donovan Pillay,PORT NATAL,"145 Maydon Road, Maydon Wharf, 4057"
023-6141800,023-6141800,Montagu,Gerda Van Wyk,OVERERG,15 Bath Street Montagu
053-3823194,053-3823194,CARNARVON,Pieter Geldenhuys,UPINGTON,15 Hanau str.
053-3430064,053-3430064,GRIEKWASTAD,Vacant,UPINGTON,15 Hoof str.
032-5511626,032-5512900,STANGER,Musa Dlamini,ZULULAND,15 Jackson Street
031-7672842,031-7672842,GILLITTS,BK Moodley,HIGHWAY,"15 Old Main Road, Gillitts"
056-9742945,056-9310176,VREDEFORT,RR KLEYNSMITH,POTCHEFSTROOM,15 ORANGE STREET
017 - 753 1068,017 - 753 1174,Bakenberg RPO,JABHI MDLULI,POTGIETERSRUS,15 PLEIN STR
058-3036593,058-3035551,Bethlehem,Sarel Venter,BETHLEHEM,"15 Pres Boshof Street, Bethlehem"
017 - 735 1014,017 - 735 5113,VOLKSRUST,OUPA MNISI,SECUNDA,15 VREDE STR
012-3869476,012-3865347,DANVILLE,FN Sibanyoni,PRETORIA,151 Jan ellis Street Danville
017 - 730 0062,017 - 730 0062,WAKKERSTROOM,PATRICIA NKONDE,SECUNDA,151 VAN RIEBEECK STR
040-6540836,040-6542062,PHAKAMISA,Z.H. Qoba,EAST LONDON,1511 PHAKAMISA TOWNSHIP PHAKAMISA
036 - 6311420,036 - 6376961,LADYSMITH,MAGDA SNYMAN,NORTHERN NATAL,157 MURCHISONSTREET LADYSMITH
047-5641518,047-5641111,PORT ST JOHN'S,N.MKIZE,UMTATA,158 MAIN ST
039-2561124,039-2560103,MALUTI,N.T.MSHWESHWE,UMTATA,159 MAIN ST
053-4441009,053-4441009,HOOPSTAD,CHRISTINA REDEBE,KIMBERLY,15WESSELS  STREET  HOOPSTAD
051-9430505,051-9430505,Clocolan,Whitey Sithole,BETHLEHEM,"16 Andries Pretorius Street, Clocolan"
017 - 638 1702,017 - 638 0311,TRICHARDT,COBA LOMBAARD,SECUNDA,16 RICHTER STR
035-5901022,035-5901022,ST LUCIA ESTUARY,Jessica Gounder,ZULULAND,16 Steenbras Lane
043-7631338,043-7631300,NGWENYATHI,M. Bomseni (Acting),EAST LONDON,1628 NU 13 MDANTSANE NGWENYATHI
039-2590054,039-2590230,UMZIMKULU,Paul van Wyhe,MIDLANDS,"169 Riverbend Street, Umzimkulu, 3297"
027-3412032,027-3411036,CALVINIA,Abrie Conradie,UPINGTON,17 Dorp str
031-579 3209,031-579 2372,ROCHDALE PARK,Lolita Reddy,PORT NATAL,"17 Palmfield Rod, Springfield Park, 4091"
013-6431551,013-6431344,Ogies,Lekau Kekana,WITBANK,17 Van Reebeck Str
018 6421117,018 6421231,ZEERUST,DICHABA KJ,POTCHEFSTROOM,17 VOORTREKKER STREET
021-939 8300,021-939 8080,Parow,Marius Williams,WEST COAST,171 VOORTREKKER RD
053-4741734,053-4740331,HARTSWATER,KOBUSROODT,KIMBERLY,17D.F. MALAN  STREET  HARTSWATER
042-2911050,042-2951063,HUMANSDORP,Brummer D A G,PORT ELIZABETH,"18 du Plessis Street, Humansdorp"
051-8211100,051-8211100,BRANDFORT,MBULELO KLAAS,BLOEMFONTEIN,18 MARK STREET
035-4507010,035-4502242,MELMOTH,vacant,ZULULAND,18 Reinhold Street
043-7820673,043-7820673,KEI ROAD (15:30),A. Mthintsilana (Acting),EAST LONDON,18 STATION STREET KEI ROAD
,051-633 2234,DUKATHOLE,rotate from Aliwal North,MIDLANDS,"1813 Letitiso Street, Dukathole, 9752"
047-8729723,047-8729031,ILINGE,C. September,EAST LONDON,1821 BUKANI STREET ILINGE
031-467 7963,031-467 2323,JACOBS,Eugene Hayes,PORT NATAL,"184 Bluff Road, Jacobs, 4052"
012-8121685,012-8123008,MAMELODI EAST,J Lekganyane,PRETORIA,18680 Dlamini and Son Supermarket Hinterland Street
021-510 4989,021-511 3793,Maitland,Lawrence Kinnear,WEST COAST,189 VOORTREKKER RD
043-7270051,043-7260140,TECOMA,E.M.Kotze,EAST LONDON,19 CHAMBERLAIN ROAD TECOMA
051-9242097,051-9242222,Ladybrand,Clement Masia,BETHLEHEM,"19 Kerk Street, Ladybrand"
028-2611660,028-2611203,Riviersonderend,Yolandi Van Rensburg,OVERERG,19 Main Road Riviersonderend Spar
028-7132309,028-7131168,Riversdale,F Dayizana,SOUTH CAPE,19 Main Street Riversdale
051-603 0372,051-603 0006,LADY GREY,Roetz J.N.J,MIDLANDS,"19 Martin Street, Lady Grey, 9755"
