name,phone,place,contact_person,type,email
TWIZIGAMIRE,,Nyamagabe,MUKAMANA Céline,MFI,info@amir.org.rw
URUKUNDO KIRAMURUZI,0788627936,Kiramuruzi,N.A,MFI,None
CSPKINIHIRA,078877538,Tumba,N.A,MFI,tcspki@yahoo.fr
CT NYAMAGABE,0788593381/535109,Gasaka,N.A,MFI,ctnyamagabe04@yahoo.fr
CT GIKONDO,078897276,Gikondo,ZIRAGWIRA JB Gerant,MFI,ctgikondo@yahoo.fr
CT KACYIRU,0788586625,Kacyiru,MUNYESHYAKA Alphonse PCA,MFI,ctkacyiru@yahoo.fr
CLECAM EJOHEZA KAMONYI,0788858868,Kayumbu,MUTABARUKA Ephrem PCA,MFI,N.A
CLECAM IZERE,0788701612,Ngororero,HABARUREMA Telesphore PCA,MFI,None
CAPEC NDAGO,55113848,Kibeho,N.A,MFI,capecndago@yahoo.fr
UCAPEC,55103033/ Tél. 0788831462,Ngoma,MANIRAHO Innocent : Président du Conseil d’Administration,MFI,ucapec@yahoo.fr
CAPEC RANGO,55113850,Kibilizi,N.A,MFI,coopecrango@yahoo.fr
ZIGAMA CSS,0788303503/0788303810,Kimihurura,N.A,MFI,erickalisa@yahoo.fr
CMF TUZAMURANE,55107284,Kagano,N.A,MFI,None
CMF NGWINUREBE,078832111/03134948,Kamembe,N.A,MFI,None
INZIRA KIBUNGO,0788531172,Kibungo,N.A,MFI,None
INGOBOKA,0788767538/078866993,Mukarange,N.A,MFI,None
CT KIBUNGO,0788560298/566534,Kibungo,N.A,MFI,kabendetsev@yahoo.fr
CLECAM NYAMUGALI,0788224354,Nemba,N.A,MFI,decanyaburera@yahoo.fr
ITI,None,Cyungo,N.A,MFI,None
CT MUHANGA,0788509145,Nyamabuye,N.A,MFI,bizid2003@yahoo.fr
IRIBA,0788623773,Byumba,N.A,MFI,iribacoopec@yahoo.fr
CAF SONGA,0788302039,Nyamabuye,N.A,MFI,caf_songa@yahoo.fr
UNICLECAM EJOHEZA  MUHANGA,0788531995,Muhanga,N.A,MFI,None
CLECAM EJOHEZA MUHANGA,0788752326,Nyamabuye,N.A,MFI,None
CT MULINDI,0788485686,Kaniga,N.A,MFI,None
CT BYUMBA,0788449423/564434,Byumba,PCA,MFI,ctbyumba@yahoo.fr
COOPEDU KIGALI,0788307750,Nyarugenge,N.A,MFI,coopedu@rwqndq1.com
ISHEMA MULINDI,0788839146,Kananga,N.A,MFI,imukampabuka@yahoo.fr
COOPEC KOZIBI,0788448090,Rubona,DUKUZUMUREMYI Richard,MFI,kobizi@yahoo.fr
COOJAD,0788519765,Remera,N.A,MFI,None
CT NYAMIRAMBO,07885225101/0788454213,Rwezamenyo,N.A,MFI,None
UNION DES COOPEC UMUTANGUHA,0788478092,Nyamirambo,N.A,MFI,ucurw@yahoo.fr
COOPEC UMUTANGUHA KIGALI,078873503/05132740,Nyamirambo,N.A,MFI,cuki@yahoo.fr
COOPEC ABADAHIGWA,078896914,Kigarama,N.A,MFI,abadahigwa@yahoo.fr
COOPEC UBAKA,0788336913,Kimironko,N.A,MFI,coopecubaka@yahoo.fr
CMF UMURAVA,0788746129/03167467/05142377,Bushenge,N.A,MFI,None
CT Rusizi,0788796166/0788775130,Kamembe,N.A,MFI,habayvon15@yahoo.fr
COOPEC UMUTANGUHA GASARENDA,05132745/08838647,Tare,N.A,MFI,cugasarenda@yahoo.fr
COOPERATIVE ABAKUNDANA,08832898/08783660,Kamembe,N.A,MFI,None
CLECAM NYARUTOVU,08609359/03210390,Gakenke,Maniraguha Jean Damascene,MFI,clecamn@yahoo.fr
COOPERATIVE INZIRA VILLE DE BUTARE,08562464/08591116,Ngoma,N.A,MFI,None
CT BUTARE,0788897998/530635,Ngoma,N.A,MFI,ct_butare@yahoo.fr
COOPERATIVE NZIRA SAVE,078868289,Kibilizi,N.A,MFI,None
